episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/__all__/num_agent_steps_trained,info/learner/__all__/num_env_steps_trained,info/learner/__all__/total_loss,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_loss_unclipped,info/learner/default_policy/vf_explained_var,info/learner/default_policy/entropy,info/learner/default_policy/mean_kl_loss,info/learner/default_policy/default_optimizer_lr,info/learner/default_policy/curr_lr,info/learner/default_policy/curr_entropy_coeff,info/learner/default_policy/curr_kl_coeff
-10756.0,-10756.0,-10756.0,35040.0,0,0,1,0,0,44000,0,44000,0,4000,0,280.03486294850967,0.0,44000,0,44000,False,1,11,ea782_00000,2024-07-15_18-14-40,1721060080,14.286044359207153,167.06535291671753,45714,LAPTOP-R6OO6DVP,172.23.43.95,167.06535291671753,11,44000,0,44000,0,-10756.0,-10756.0,-10756.0,35040.0,0,0,[-10756.0],[35040],14885.023,10848.203,2.286,44000,0,44000,0,8.355,75.43000000000002,[-10756.0],[35040],128.0,4000.0,0.1006375975839333,0.1006375975839333,0.005201846448533825,6.43375818078706,15.509232520421685,-8.145120860671184e-07,1.1957788070254742,0.030714235825399963,0.003,0.003,0.0,1.5187500715255737
-10756.0,-10756.0,-10756.0,35040.0,0,0,1,0,0,48000,0,48000,0,4000,0,283.86844307785975,0.0,48000,0,48000,False,1,12,ea782_00000,2024-07-15_18-14-55,1721060095,14.093424797058105,181.15877771377563,45714,LAPTOP-R6OO6DVP,172.23.43.95,181.15877771377563,12,48000,0,48000,0,-10756.0,-10756.0,-10756.0,35040.0,0,0,[-10756.0],[35040],14752.866,10755.033,2.265,48000,0,48000,0,8.58,75.14500000000001,[-10756.0],[35040],128.0,4000.0,0.07154523218914406,0.07154523218914406,0.0040365733466407,4.956489006434676,8.311680825502634,-3.5455231981745153e-06,1.117563952642209,0.011814826952806338,0.003,0.003,0.0,1.5187500715255737
-10756.0,-10756.0,-10756.0,35040.0,0,0,1,0,0,52000,0,52000,0,4000,0,285.3878407735641,0.0,52000,0,52000,False,1,13,ea782_00000,2024-07-15_18-15-09,1721060109,14.017866611480713,195.17664432525635,45714,LAPTOP-R6OO6DVP,172.23.43.95,195.17664432525635,13,52000,0,52000,0,-10756.0,-10756.0,-10756.0,35040.0,0,0,[-10756.0],[35040],14695.6,10717.688,2.297,52000,0,52000,0,8.669999999999998,75.15499999999999,[-10756.0],[35040],128.0,4000.0,0.03941750940062535,0.03941750940062535,0.0011901867671260066,2.6183867430381937,3.254916180171438,1.7188759500792287e-06,1.0502646977840455,0.007929849725272553,0.003,0.003,0.0,1.5187500715255737
-10756.0,-10756.0,-10756.0,35040.0,0,0,1,0,0,56000,0,56000,0,4000,0,285.93888700390147,0.0,56000,0,56000,False,1,14,ea782_00000,2024-07-15_18-15-23,1721060123,13.991516351699829,209.16816067695618,45714,LAPTOP-R6OO6DVP,172.23.43.95,209.16816067695618,14,56000,0,56000,0,-10756.0,-10756.0,-10756.0,35040.0,0,0,[-10756.0],[35040],14590.204,10642.825,2.257,56000,0,56000,0,8.83,75.165,[-10756.0],[35040],128.0,4000.0,0.03230898925063532,0.03230898925063532,-0.0003027805144082445,2.532264794971643,3.8157191912947432,1.7974803696817427e-06,1.1325559396225253,0.004799424198684533,0.003,0.003,0.0,0.7593750357627869
-10756.0,-10756.0,-10756.0,35040.0,0,0,1,0,0,60000,0,60000,0,4000,0,290.34003698625213,0.0,60000,0,60000,False,1,15,ea782_00000,2024-07-15_18-15-36,1721060136,13.779256582260132,222.9474172592163,45714,LAPTOP-R6OO6DVP,172.23.43.95,222.9474172592163,15,60000,0,60000,0,-10756.0,-10756.0,-10756.0,35040.0,0,0,[-10756.0],[35040],14413.056,10528.529,2.25,60000,0,60000,0,8.705,75.20000000000002,[-10756.0],[35040],128.0,4000.0,0.06802259387943878,0.06802259387943878,0.018553821441493056,1.9821485940899168,2.101466544560278,0.0001911880619236147,1.1800778070365443,0.03904169488493835,0.003,0.003,0.0,1.139062523841858
-10756.0,-10756.0,-10756.0,35040.0,0,0,1,0,0,64000,0,64000,0,4000,0,284.57933670205887,0.0,64000,0,64000,False,1,16,ea782_00000,2024-07-15_18-15-50,1721060150,14.058147668838501,237.0055649280548,45714,LAPTOP-R6OO6DVP,172.23.43.95,237.0055649280548,16,64000,0,64000,0,-10756.0,-10756.0,-10756.0,35040.0,0,0,[-10756.0],[35040],14356.575,10485.278,2.287,64000,0,64000,0,8.515,75.24999999999999,[-10756.0],[35040],128.0,4000.0,0.053320359846235496,0.053320359846235496,0.007661341446767579,2.8118672265109224,6.791163542091465,-9.57105713866667e-07,1.0229512756821444,0.015398935013645256,0.003,0.003,0.0,1.139062523841858
-10756.0,-10756.0,-10756.0,35040.0,0,0,1,0,0,68000,0,68000,0,4000,0,281.58573982373196,0.0,68000,0,68000,False,1,17,ea782_00000,2024-07-15_18-16-05,1721060165,14.207072496414185,251.212637424469,45714,LAPTOP-R6OO6DVP,172.23.43.95,251.212637424469,17,68000,0,68000,0,-10756.0,-10756.0,-10756.0,35040.0,0,0,[-10756.0],[35040],14255.493,10414.387,2.309,68000,0,68000,0,8.33,75.29999999999998,[-10756.0],[35040],128.0,4000.0,0.09891487723702926,0.09891487723702926,0.006913396262023638,6.666657547960912,24.96343122286075,-9.554535595338736e-07,1.1570917292952791,0.022241893087881482,0.003,0.003,0.0,1.7085938453674316
-10756.0,-11984.0,-11370.0,35040.0,1,0,1,0,0,72000,0,72000,0,4000,0,267.8541097259166,0.0,72000,0,72000,False,2,18,ea782_00000,2024-07-15_18-16-20,1721060180,14.936632633209229,266.1492700576782,45714,LAPTOP-R6OO6DVP,172.23.43.95,266.1492700576782,18,72000,0,72000,0,-10756.0,-11984.0,-11370.0,35040.0,1,0,"[-10756.0, -11984.0]","[35040, 35040]",14252.404,10435.463,2.317,72000,0,72000,0,8.513636363636365,75.32272727272729,"[-10756.0, -11984.0]","[35040, 35040]",128.0,4000.0,0.06462252746968628,0.06462252746968628,-0.0012149848664469367,5.794749369118005,16.815508296748977,-9.57105713866667e-07,1.238110867771767,0.004617844685381792,0.003,0.003,0.0,0.8542969226837158
-10756.0,-11984.0,-11370.0,35040.0,0,0,1,0,0,76000,0,76000,0,4000,0,276.91402284328893,0.0,76000,0,76000,False,2,19,ea782_00000,2024-07-15_18-16-34,1721060194,14.44740343093872,280.59667348861694,45714,LAPTOP-R6OO6DVP,172.23.43.95,280.59667348861694,19,76000,0,76000,0,-10756.0,-11984.0,-11370.0,35040.0,0,0,"[-10756.0, -11984.0]","[35040, 35040]",14212.641,10397.302,2.284,76000,0,76000,0,8.665,75.39500000000001,"[-10756.0, -11984.0]","[35040, 35040]",128.0,4000.0,0.0750549555962671,0.0750549555962671,-0.00011194536863550194,6.079450207605545,14.17746280289408,-9.553264707390433e-07,1.2722704474097375,0.016823655539171877,0.003,0.003,0.0,0.8542969226837158
-10756.0,-11984.0,-11370.0,35040.0,0,0,1,0,0,80000,0,80000,0,4000,0,274.31282554301697,0.0,80000,0,80000,False,2,20,ea782_00000,2024-07-15_18-16-49,1721060209,14.583983659744263,295.1806571483612,45714,LAPTOP-R6OO6DVP,172.23.43.95,295.1806571483612,20,80000,0,80000,0,-10756.0,-11984.0,-11370.0,35040.0,0,0,"[-10756.0, -11984.0]","[35040, 35040]",14237.806,10432.713,2.252,80000,0,80000,0,8.880952380952381,75.49047619047619,"[-10756.0, -11984.0]","[35040, 35040]",128.0,4000.0,0.0848153469307638,0.0848153469307638,0.009011781925130993,5.341840861448601,9.144028951110108,-9.577411578408183e-07,1.270856995826591,0.02620301757988835,0.003,0.003,0.0,1.2814453840255737
